Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-11-28 05:30:35,32.3182,-86.9023,242874,3572,161946.0,77356.0,1.0,4953.392539747124,1567713.0,,1.470721444040943,84000001.0,USA,31973.360173030385,
Alaska,US,2020-11-28 05:30:35,61.3707,-152.4044,30776,119,7165.0,23492.0,2.0,4206.986583190371,990773.0,,0.3866649337145828,84000002.0,USA,135435.68748334007,
Arizona,US,2020-11-28 05:30:35,33.7298,-111.4312,318638,6588,50892.0,261158.0,4.0,4377.667108090615,2203517.0,,2.067550009728909,84000004.0,USA,30273.42593481791,
Arkansas,US,2020-11-28 05:30:35,34.9697,-92.3731,153677,2436,134312.0,16929.0,5.0,5092.345294790516,1655994.0,,1.5851428645796053,84000005.0,USA,54874.140268884265,
California,US,2020-11-28 05:30:35,36.1162,-119.6816,1185576,19089,,1166487.0,6.0,3000.529734811428,23315918.0,,1.6101034433895425,84000006.0,USA,59009.380464369206,
Colorado,US,2020-11-28 05:30:35,39.0598,-105.3111,220953,2977,11957.0,206019.0,8.0,3836.8315547022817,3091838.0,,1.3473453630410088,84000008.0,USA,53689.524923524885,
Connecticut,US,2020-11-28 05:30:35,41.5978,-72.7554,112581,4961,9800.0,97820.0,9.0,3157.6981039675065,3154617.0,,4.406605022161823,84000009.0,USA,88481.43221008574,
Delaware,US,2020-11-28 05:30:35,39.3185,-75.5071,34170,763,16874.0,16533.0,10.0,3509.063797799056,709251.0,,2.2329528826455958,84000010.0,USA,72836.02597754692,
Florida,US,2020-11-28 05:30:35,27.7663,-81.6868,979020,18363,,960657.0,12.0,4558.3014635107975,12191982.0,,1.8756511613654472,84000012.0,USA,56765.673217806885,
Georgia,US,2020-11-28 05:30:35,33.0406,-83.6431,464526,9380,,455146.0,13.0,4375.129445252393,4258413.0,,2.019262646224324,84000013.0,USA,40107.78321632283,
Hawaii,US,2020-11-28 05:30:35,21.0943,-157.4983,18006,240,11958.0,5808.0,15.0,1271.7251276951588,655563.0,,1.3328890369876707,84000015.0,USA,46301.00743570041,
Idaho,US,2020-11-28 05:30:35,44.2405,-114.4788,98500,909,39199.0,58392.0,16.0,5511.830851144196,464446.0,,0.9228426395939088,84000016.0,USA,25989.317680106768,
Illinois,US,2020-11-28 05:30:35,40.3495,-88.9861,705063,12685,,692378.0,17.0,5564.022724121498,10289223.0,,1.7991300068220857,84000017.0,USA,81197.6668546691,
Indiana,US,2020-11-28 05:30:35,39.8494,-86.2583,324537,5594,187259.0,131684.0,18.0,4820.654230054013,4148596.0,,1.7236863593365317,84000018.0,USA,61623.01018430921,
Iowa,US,2020-11-28 05:30:35,42.0115,-93.2105,225056,2360,127348.0,95348.0,19.0,7133.153939532245,1060478.0,,1.0486278970567326,84000019.0,USA,33611.869150288265,
Kansas,US,2020-11-28 05:30:35,38.5266,-96.7265,155411,1529,3352.0,150530.0,20.0,5334.509084842896,812424.0,,0.9838428425272342,84000020.0,USA,27886.592382420844,
Kentucky,US,2020-11-28 05:30:35,37.6681,-84.6701,171755,1871,27866.0,142018.0,21.0,3844.395057561285,2528558.0,,1.0893423772233706,84000021.0,USA,56596.7562979654,
Louisiana,US,2020-11-28 05:30:35,31.1695,-91.8678,230602,6391,192488.0,31723.0,22.0,4960.469317418669,3378743.0,,2.7714417047553788,84000022.0,USA,72679.98969195019,
Maine,US,2020-11-28 05:30:35,44.6939,-69.3819,11265,190,8800.0,2275.0,23.0,838.037452425659,841328.0,,1.6866400355082112,84000023.0,USA,62588.936864125586,
Maryland,US,2020-11-28 05:30:35,39.0639,-76.8021,192858,4569,8565.0,179724.0,24.0,3190.013364915113,4335442.0,,2.369100581775192,84000024.0,USA,71711.40384539044,
Massachusetts,US,2020-11-28 05:30:35,42.2302,-71.5301,219252,10635,155473.0,53144.0,25.0,3181.0214663671527,8250436.0,,4.8505828909200375,84000025.0,USA,119701.59461664365,
Michigan,US,2020-11-28 05:30:35,43.3266,-84.5361,369801,9357,152267.0,208177.0,26.0,3702.876690834764,6513757.0,,2.5302797991352106,84000026.0,USA,65223.29297395567,
Minnesota,US,2020-11-28 05:30:35,45.6945,-93.9002,295001,3535,244982.0,46484.0,27.0,5230.855488443218,3922136.0,,1.1983010227083977,84000027.0,USA,69545.95619004928,
