ForecastID,Confirmed,Deaths
0,127308,2200
1,5320,37
2,202260,5053
3,61767,811
4,717990,13156
5,57600,1948
6,52966,4466
7,17510,606
8,625713,11354
9,272257,5701
10,8665,73
11,32339,366
12,238581,8257
13,95133,3307
14,65892,1127
15,43020,455
16,49059,940
17,148858,4982
18,4549,132
19,108764,3765
20,128872,9075
21,113714,6766
22,76607,1875
23,83480,2512
24,86849,1554
25,7535,106
26,34562,400
27,69679,1323
28,7294,432
29,192286,15946
30,25467,782
31,435410,32945
32,168823,2724
33,11996,144
34,124144,4171
35,59434,811
36,26947,463
37,139486,7668
38,22043,1049
39,119910,2749
40,13758,167
41,156463,1777
42,636955,12931
43,52425,410
44,1631,58
45,121548,2595
46,75173,1924
47,10378,219
48,76171,1129
49,3885,37
50,128513,2216
51,5387,37
52,202688,5108
53,62315,824
54,723748,13302
55,57792,1951
56,53129,4466
57,17586,607
58,628242,11486
59,273683,5777
60,8883,76
61,32593,373
62,240441,8283
63,96077,3319
64,66767,1146
65,43614,458
66,49688,948
67,149553,5019
68,4569,132
69,109289,3772
70,129216,9088
71,114418,6775
72,77416,1884
73,84139,2547
74,88079,1560
75,7665,107
76,34840,401
77,70125,1341
78,7314,433
79,192626,15947
80,25575,786
81,436067,32928
82,170327,2749
83,12210,145
84,125142,4167
85,60190,827
86,27189,468
87,140159,7682
88,22084,1051
89,120800,2784
90,14008,168
91,157881,1803
92,641386,13118
93,52787,413
94,1638,58
95,122531,2610
96,75665,1933
97,10508,224
98,76827,1134
99,3918,37
100,129751,2240
101,5454,38
102,203093,5134
103,62875,838
104,729397,13429
105,57991,1956
106,53261,4467
107,17663,608
108,630829,11601
109,275273,5834
110,9100,80
111,32851,379
112,242319,8307
113,97023,3331
114,67661,1158
115,44149,462
116,50290,956
117,150229,5047
118,4591,132
119,109815,3780
120,129559,9101
121,115137,6787
122,78231,1894
123,84768,2575
124,89314,1568
125,7792,109
126,35120,403
127,70580,1361
128,7334,434
129,192957,15948
130,25687,791
131,436725,32917
132,171837,2775
133,12431,146
134,126151,4243
135,60939,842
136,27414,474
137,140824,7702
138,22193,1052
139,121708,2828
140,14263,170
141,159341,1830
142,645826,13297
143,53154,416
