ForecastID,Confirmed,Deaths
0,127291,2202
1,5318,37
2,202190,5063
3,61693,810
4,719708,13144
5,57695,1952
6,52911,4458
7,17505,607
8,625590,11330
9,272511,5723
10,8716,73
11,32355,366
12,238745,8250
13,95229,3306
14,65870,1128
15,43036,456
16,49117,941
17,149549,4983
18,4544,132
19,108776,3755
20,128816,9086
21,113887,6753
22,76584,1871
23,83566,2506
24,86936,1557
25,7529,106
26,34579,400
27,69551,1323
28,7300,434
29,192070,15939
30,25479,783
31,435392,33088
32,168714,2732
33,12024,145
34,124377,4182
35,59510,809
36,26993,464
37,139582,7684
38,22064,1050
39,119898,2748
40,13761,168
41,156494,1777
42,636595,12934
43,52357,411
44,1632,57
45,121471,2593
46,75221,1929
47,10405,216
48,76160,1130
49,3892,37
50,128452,2219
51,5387,37
52,202570,5101
53,62159,824
54,727572,13277
55,58017,1958
56,53023,4458
57,17585,609
58,628217,11479
59,274663,5809
60,8951,76
61,32604,371
62,240762,8269
63,96307,3316
64,66698,1138
65,43766,460
66,49853,949
67,150483,5001
68,4558,132
69,109314,3757
70,129056,9106
71,114722,6761
72,77323,1874
73,84225,2534
74,88304,1567
75,7666,108
76,34835,402
77,69871,1341
78,7327,437
79,192173,15947
80,25575,787
81,436114,33250
82,170185,2762
83,12287,147
84,125518,4206
85,60357,820
86,27267,468
87,140389,7712
88,22141,1050
89,120725,2778
90,14013,170
91,158243,1803
92,640582,13100
93,52625,415
94,1638,57
95,122409,2604
96,75825,1939
97,10560,218
98,76823,1138
99,3933,37
100,129734,2237
101,5465,37
102,202905,5132
103,62654,838
104,735319,13400
105,58370,1963
106,53110,4454
107,17664,611
108,630938,11602
109,276760,5875
110,9218,78
111,32837,375
112,242932,8287
113,97431,3325
114,67560,1147
115,44355,464
116,50615,957
117,151837,5027
118,4571,132
119,109869,3758
120,129333,9129
121,115585,6766
122,78077,1878
123,84967,2560
124,89731,1577
125,7815,109
126,35102,405
127,70248,1356
128,7355,440
129,192161,15953
130,25709,791
131,436965,33381
132,171806,2790
133,12566,148
134,126699,4225
135,61248,829
136,27582,472
137,141227,7734
138,22235,1053
139,121585,2806
140,14284,172
141,160048,1827
142,644590,13266
143,52930,418
144,1644,56
145,123377,2615
146,76508,1949
147,10720,219
148,77534,1145
149,3979,37
150,131036,2256
151,5549,37
