ForecastID,Confirmed,Deaths
0,127250,2193
1,5325,36
2,202159,5061
3,61738,810
4,720306,13170
5,57640,1952
6,52902,4457
7,17520,607
8,626313,11354
9,272376,5723
10,8669,73
11,32353,366
12,238793,8262
13,95224,3300
14,65680,1121
15,42971,457
16,49177,943
17,149023,4986
18,4538,132
19,108766,3759
20,128821,9078
21,113880,6753
22,76609,1872
23,83634,2510
24,86871,1555
25,7524,106
26,34591,400
27,69578,1327
28,7303,435
29,192110,15939
30,25488,783
31,435106,33058
32,168830,2729
33,12004,145
34,124511,4172
35,59560,809
36,26971,463
37,139542,7679
38,22099,1052
39,120073,2749
40,13775,167
41,156463,1779
42,637286,12931
43,52355,410
44,1634,58
45,121522,2593
46,75216,1929
47,10411,218
48,76231,1131
49,3892,37
50,128295,2204
51,5396,35
52,202665,5102
53,62217,824
54,728722,13347
55,57892,1957
56,53021,4451
57,17597,609
58,629330,11491
59,274083,5805
60,8866,77
61,32664,371
62,240802,8280
63,96282,3307
64,66566,1132
65,43590,461
66,49877,952
67,149845,5020
68,4551,132
69,109323,3764
70,129089,9096
71,114708,6757
72,77414,1879
73,84455,2543
74,88189,1561
75,7676,108
76,34857,402
77,69907,1350
78,7335,438
79,192244,15948
80,25592,787
81,435505,33159
82,170386,2766
83,12234,147
84,125167,4170
85,60430,821
86,27205,467
87,140292,7702
88,22129,1054
89,120978,2778
90,14033,168
91,158000,1811
92,641644,13110
93,52625,414
94,1642,57
95,122489,2604
96,75781,1940
97,10546,221
98,76918,1139
99,3927,37
100,129466,2226
101,5458,34
102,203164,5139
103,62721,838
104,736315,13505
105,58176,1962
106,53065,4449
107,17669,610
108,633049,11611
109,276096,5877
110,9096,81
111,32980,376
112,242930,8294
113,97399,3311
114,67376,1141
115,44244,466
116,50601,960
117,150670,5042
118,4564,132
119,109888,3767
120,129432,9118
121,115493,6762
122,78228,1885
123,85218,2573
124,89579,1572
125,7822,109
126,35119,404
127,70389,1373
128,7366,441
129,192327,15955
130,25700,791
131,436126,33245
132,171951,2792
133,12517,148
134,126705,4244
135,61325,832
136,27445,472
137,141065,7720
138,22233,1055
139,122053,2811
140,14315,170
141,159775,1840
142,646413,13382
143,52919,418
144,1647,57
145,123478,2615
146,76267,1951
147,10701,222
148,77664,1146
149,3970,37
150,130625,2245
151,5502,33
152,203765,5173
153,63231,852
154,743239,13630
155,58465,1966
156,53193,4448
157,17745,611
158,637113,11737
159,278201,5951
160,9228,84
161,33277,381
162,245032,8294
163,98546,3315
164,68231,1146
165,44821,471
166,51319,967
167,151433,5069
168,4578,132
169,110448,3770
170,129768,9137
171,116386,6768
172,79039,1889
173,85855,2597
174,91001,1582
175,7953,110
176,35373,407
177,70914,1388
178,7395,443
179,192349,15960
180,25817,794
181,436714,33321
182,173701,2817
183,12841,149
184,127931,4267
185,62286,841
186,27685,476
187,141872,7732
188,22331,1055
189,123184,2838
190,14654,172
191,161889,1868
192,650808,13622
193,53233,420
194,1652,57
195,124440,2626
196,76776,1962
197,10855,224
198,78474,1153
199,4013,37
200,131877,2266
201,5536,32
202,204277,5201
203,63750,866
204,749723,13730
205,58757,1969
206,53280,4443
207,17819,612
208,640606,11843
209,279993,6016
210,9387,87
211,33555,385
212,247177,8300
213,99720,3323
214,69186,1155
215,45472,474
216,52076,974
217,152262,5088
218,4591,132
219,111012,3773
220,130133,9159
221,117270,6775
222,79851,1893
223,86543,2621
224,92474,1593
225,8085,112
226,35637,410
227,71371,1396
228,7423,445
229,192338,15972
230,25937,798
231,437230,33385
232,175413,2841
233,13168,150
234,129134,4283
235,63232,848
236,27953,480
237,142669,7739
238,22394,1057
239,124287,2866
240,15006,174
241,163829,1893
242,654801,13822
243,53526,423
244,1660,57
245,125413,2637
246,77354,1972
247,11015,226
248,79240,1159
249,4059,37
250,133147,2286
251,5567,31
252,204772,5227
253,64267,880
254,756843,13837
255,59063,1972
256,53392,4437
257,17893,613
258,643886,11943
259,281858,6081
260,9543,90
261,33836,388
262,249360,8305
263,100913,3331
264,70063,1163
265,46110,478
266,52842,981
267,153174,5109
268,4604,132
269,111585,3776
270,130496,9181
271,118161,6781
272,80666,1897
273,87327,2648
274,93975,1604
275,8234,114
276,35897,413
277,71787,1405
278,7450,447
279,192290,15983
280,26063,801
281,437707,33435
282,177067,2863
283,13488,151
284,130472,4303
285,64149,855
286,28214,484
287,143461,7743
288,22489,1061
289,125422,2891
290,15378,175
291,165755,1917
292,658260,13982
293,53816,426
294,1667,57
295,126399,2648
296,77905,1981
297,11175,228
298,80024,1165
299,4106,37
300,134406,2304
301,5595,30
302,205305,5254
303,64785,894
304,764648,13964
305,59371,1975
306,53468,4431
307,17967,614
308,647451,12058
309,283849,6152
310,9697,93
311,34129,391
312,251607,8314
313,102131,3340
314,70935,1170
315,46738,482
316,53626,988
317,154077,5133
318,4616,132
319,112165,3779
320,130845,9202
321,119059,6787
322,81484,1901
323,88146,2677
324,95501,1614
325,8390,116
326,36154,416
327,72153,1418
328,7477,449
329,192211,15995
330,26193,804
331,438158,33476
332,178804,2888
333,13799,152
334,131594,4310
335,65090,863
336,28475,488
337,144262,7749
338,22585,1064
339,126545,2916
340,15764,176
341,167807,1942
342,661427,14101
343,54113,429
344,1673,57
345,127393,2659
346,78448,1991
347,11341,229
348,80828,1171
349,4154,37
350,135688,2322
351,5615,29
352,205872,5283
353,65302,908
354,773032,14110
355,59688,1978
356,53562,4426
357,18041,615
358,651229,12176
359,285780,6220
360,9857,95
361,34441,395
362,253938,8322
363,103372,3350
364,71862,1179
365,47403,486
366,54423,996
367,154977,5156
368,4628,132
369,112748,3782
370,131194,9222
371,119960,6793
372,82310,1905
373,88988,2706
374,97052,1624
375,8546,118
376,36406,418
377,72538,1436
378,7503,451
379,192109,16008
380,26328,807
381,438569,33518
382,180576,2914
383,14109,153
384,132840,4334
385,66073,872
386,28746,492
387,145076,7758
388,22655,1066
389,127727,2943
390,16165,177
391,169940,1968
392,664556,14225
393,54414,432
394,1680,57
395,128386,2670
396,79020,2001
397,11510,231
398,81639,1177
399,4203,37
400,136981,2340
401,5625,28
402,206471,5311
403,65817,922
404,781341,14257
405,60015,1981
406,53656,4421
407,18114,616
408,655185,12287
409,287769,6287
410,10017,97
411,34764,399
412,256309,8329
413,104628,3358
414,72776,1187
415,48073,491
