ForecastID,Confirmed,Deaths
0,258030,3781
1,40712,100
2,361472,7504
3,168552,2776
4,1292413,20834
5,294814,3426
6,138387,4977
7,38262,778
8,1047804,19716
9,506239,10086
10,19248,248
11,114867,1066
12,870542,13864
13,413828,6380
14,276335,2716
15,173115,1723
16,208507,2095
17,245939,6717
18,14398,191
19,216741,4690
20,276455,11429
21,463026,10113
22,402180,4163
23,161111,4036
24,349759,4237
25,81049,864
26,154118,1194
27,166631,2367
28,27380,542
29,389074,17165
30,133980,1876
31,684225,35982
32,383392,5573
33,101218,1161
34,511128,6772
35,223052,1944
36,94299,998
37,434581,10953
38,65992,1426
39,231585,4838
40,84665,1170
41,398959,4990
42,1344551,24636
43,243273,982
44,5438,62
45,246951,4234
46,158860,2886
47,59563,897
48,513124,4081
49,45698,277
50,259734,3802
51,41816,99
52,365317,7587
53,170242,2805
54,1302841,20981
55,303260,3477
56,141535,4991
57,38749,780
58,1054667,19839
59,509735,10149
60,19369,249
61,116601,1081
62,888275,14011
63,423563,6467
64,281703,2755
65,175804,1747
66,212507,2119
67,247364,6749
68,14748,192
69,219150,4707
70,282846,11513
71,474210,10217
72,413408,4236
73,162374,4061
74,355099,4287
75,83129,885
76,157389,1216
77,169048,2395
78,28302,544
79,396194,17199
80,138712,1920
81,690987,36098
82,386470,5613
83,103491,1186
84,524813,6837
85,226572,1968
86,96959,1014
87,444675,11050
88,67508,1436
89,233333,4876
90,85277,1190
91,402981,5041
92,1357903,24894
93,248733,997
94,5592,62
95,248977,4256
96,160153,2903
97,61170,917
98,523837,4154
99,47235,286
100,261441,3824
101,42955,98
102,369119,7671
103,171947,2834
104,1313136,21128
105,311988,3530
106,144795,5006
107,39246,782
108,1061474,19963
109,513231,10212
110,19491,250
111,118365,1096
112,906465,14161
113,433567,6556
114,287193,2795
115,178548,1772
116,216586,2143
117,248765,6781
118,15111,193
119,221587,4724
120,289508,11601
121,485722,10324
122,424992,4311
123,163647,4086
124,360519,4337
125,85261,907
126,160736,1238
127,171500,2423
128,29267,546
129,403556,17234
130,143642,1966
131,697886,36218
132,389559,5654
133,105812,1212
134,538959,6904
135,230138,1993
136,99733,1030
137,455073,11150
138,69074,1446
139,235086,4914
140,85863,1210
141,407039,5093
142,1371338,25154
143,254344,1012
144,5751,62
145,251022,4278
146,161458,2920
147,62824,937
148,534771,4229
149,48824,295
150,263160,3846
151,44129,97
152,372878,7755
153,173667,2864
154,1323297,21275
155,321010,3585
156,148169,5021
157,39754,784
158,1068225,20088
159,516722,10275
160,19614,251
161,120161,1112
162,925125,14315
163,443843,6648
164,292808,2835
165,181294,1797
166,220734,2168
167,250150,6813
168,15487,194
169,224052,4741
170,296451,11692
171,497573,10434
172,436940,4388
173,164929,4111
174,366016,4388
175,87451,930
176,164167,1261
177,173991,2451
178,30278,548
179,411169,17270
180,148785,2014
181,704928,36340
182,392667,5695
183,108191,1238
184,553583,6973
185,233755,2018
186,102634,1047
187,465784,11253
188,70690,1456
189,236845,4952
190,86422,1230
191,411126,5145
192,1384853,25415
193,260094,1028
194,5916,62
195,253086,4300
196,162774,2937
197,64535,958
198,545950,4305
199,50468,304
200,264889,3868
201,45339,95
202,376592,7840
203,175401,2894
204,1333334,21423
205,330334,3641
206,151664,5037
207,40273,787
208,1074920,20214
209,520209,10338
210,19738,252
211,121984,1128
212,944261,14473
213,454400,6742
214,298545,2876
215,184127,1822
216,224983,2193
217,251521,6845
218,15877,195
219,226547,4758
220,303690,11787
221,509759,10547
222,449261,4468
223,166220,4137
224,371596,4440
225,89694,953
226,167680,1284
227,176517,2480
228,31336,550
229,419042,17307
230,154152,2064
231,712113,36463
232,395797,5736
233,110624,1265
234,568702,7044
235,237432,2044
236,105662,1065
237,476821,11359
238,72361,1467
239,238609,4990
240,86947,1249
241,415251,5198
242,1398452,25677
243,266013,1044
244,6087,62
245,255169,4322
246,164100,2954
247,66297,980
248,557360,4383
249,52175,314
250,266623,3890
251,46594,93
252,380265,7926
253,177151,2924
254,1343252,21571
255,339970,3699
256,155281,5053
257,40802,790
258,1081561,20340
259,523709,10402
260,19863,253
261,123836,1144
262,963887,14634
263,465248,6839
264,304398,2918
265,186962,1848
266,229336,2219
267,252876,6877
268,16282,196
269,229073,4775
270,311235,11886
271,522301,10664
272,461981,4550
273,167522,4163
274,377261,4493
275,91992,976
276,171283,1308
277,179081,2509
278,32444,552
279,427184,17346
280,159751,2116
281,719441,36586
282,398940,5777
283,113110,1292
284,584333,7117
285,241160,2070
286,108826,1083
287,488194,11468
288,74088,1478
289,240379,5028
290,87442,1268
291,419408,5251
292,1412135,25941
293,272097,1060
294,6264,62
295,257271,4345
296,165436,2971
297,68115,1002
298,569026,4463
299,53938,324
300,268364,3912
301,47892,91
302,383895,8012
303,178916,2954
304,1353059,21719
305,349925,3759
306,159027,5070
307,41342,793
308,1088142,20467
309,527216,10466
310,19989,254
311,125712,1160
312,984013,14799
313,476391,6938
314,310379,2961
315,189843,1874
316,233776,2245
317,254219,6909
318,16702,197
319,231631,4792
320,319101,11989
321,535205,10784
322,475100,4635
323,168834,4189
324,383007,4546
325,94355,1000
326,174974,1332
327,181685,2539
328,33605,554
329,435605,17386
330,165590,2170
331,726914,36709
332,402100,5818
333,115652,1320
334,600494,7192
335,244948,2096
336,112136,1102
337,499913,11580
338,75871,1489
339,242155,5066
340,87906,1287
341,423605,5305
342,1425903,26206
343,278333,1077
344,6447,62
345,259390,4368
346,166781,2988
347,69996,1025
348,580947,4545
349,55763,334
